ts,newlight
2021-12-05 17:00:00,489
2021-12-05 18:00:00,307
2021-12-05 19:00:00,582
2021-12-05 20:00:00,596
2021-12-05 21:00:00,586
2021-12-05 22:00:00,552
2021-12-05 23:00:00,504
2021-12-06 00:00:00,158
2021-12-06 01:00:00,83
2021-12-06 02:00:00,10
2021-12-06 03:00:00,18
2021-12-06 04:00:00,10
2021-12-06 05:00:00,17
2021-12-06 06:00:00,16
2021-12-06 07:00:00,112
2021-12-06 08:00:00,491
2021-12-06 09:00:00,441
2021-12-06 10:00:00,570
2021-12-06 11:00:00,178
2021-12-06 12:00:00,400
2021-12-06 13:00:00,350
2021-12-06 14:00:00,406
2021-12-06 15:00:00,350
2021-12-06 16:00:00,414
2021-12-06 17:00:00,336
2021-12-06 18:00:00,338
2021-12-06 19:00:00,172
2021-12-06 20:00:00,287
2021-12-06 21:00:00,324
2021-12-06 22:00:00,383
2021-12-06 23:00:00,360
2021-12-07 00:00:00,170
2021-12-07 01:00:00,31
2021-12-07 02:00:00,14
2021-12-07 03:00:00,10
2021-12-07 04:00:00,15
2021-12-07 05:00:00,11
2021-12-07 06:00:00,12
2021-12-07 07:00:00,121
2021-12-07 08:00:00,339
2021-12-07 09:00:00,177
2021-12-07 10:00:00,135
2021-12-07 11:00:00,194
2021-12-07 12:00:00,239
2021-12-07 13:00:00,206
2021-12-07 14:00:00,166
2021-12-07 15:00:00,150
2021-12-07 16:00:00,346
2021-12-07 17:00:00,389
2021-12-07 18:00:00,414
2021-12-07 19:00:00,359
2021-12-07 20:00:00,282
2021-12-07 21:00:00,520
2021-12-07 22:00:00,430
2021-12-07 23:00:00,431
2021-12-08 00:00:00,157
2021-12-08 01:00:00,17
2021-12-08 02:00:00,23
2021-12-08 03:00:00,15
2021-12-08 04:00:00,11
2021-12-08 05:00:00,18
2021-12-08 06:00:00,108
2021-12-08 07:00:00,123
2021-12-08 08:00:00,235
2021-12-08 09:00:00,346
2021-12-08 10:00:00,288
2021-12-08 11:00:00,289
2021-12-08 12:00:00,343
2021-12-08 13:00:00,246
2021-12-08 14:00:00,535
2021-12-08 15:00:00,655
2021-12-08 16:00:00,552
2021-12-08 17:00:00,448
2021-12-08 18:00:00,312
2021-12-08 19:00:00,378
2021-12-08 20:00:00,300
2021-12-08 21:00:00,295
2021-12-08 22:00:00,508
2021-12-08 23:00:00,349
2021-12-09 00:00:00,136
2021-12-09 01:00:00,19
2021-12-09 02:00:00,11
2021-12-09 03:00:00,16
2021-12-09 04:00:00,19
2021-12-09 05:00:00,12
2021-12-09 06:00:00,14
2021-12-09 07:00:00,123
2021-12-09 08:00:00,261
2021-12-09 09:00:00,598
2021-12-09 10:00:00,522
2021-12-09 11:00:00,610
2021-12-09 12:00:00,513
2021-12-09 13:00:00,285
2021-12-09 14:00:00,692
2021-12-09 15:00:00,624
2021-12-09 16:00:00,677
2021-12-09 17:00:00,641
2021-12-09 18:00:00,266
2021-12-09 19:00:00,230
2021-12-09 20:00:00,246
2021-12-09 21:00:00,187
2021-12-09 22:00:00,305
2021-12-09 23:00:00,329
2021-12-10 00:00:00,235
2021-12-10 01:00:00,10
2021-12-10 02:00:00,15
2021-12-10 03:00:00,13
2021-12-10 04:00:00,23
2021-12-10 05:00:00,13
2021-12-10 06:00:00,75
2021-12-10 07:00:00,90
2021-12-10 08:00:00,218
2021-12-10 09:00:00,292
2021-12-10 10:00:00,278
2021-12-10 11:00:00,266
2021-12-10 12:00:00,263
2021-12-10 13:00:00,239
2021-12-10 14:00:00,228
2021-12-10 15:00:00,188
2021-12-10 16:00:00,246
2021-12-10 17:00:00,306
2021-12-10 18:00:00,429
2021-12-10 19:00:00,561
2021-12-10 20:00:00,473
2021-12-10 21:00:00,464
2021-12-10 22:00:00,390
2021-12-10 23:00:00,214
2021-12-11 00:00:00,119
2021-12-11 01:00:00,12
2021-12-11 02:00:00,15
2021-12-11 03:00:00,22
2021-12-11 04:00:00,26
2021-12-11 05:00:00,23
2021-12-11 06:00:00,27
2021-12-11 07:00:00,109
2021-12-11 08:00:00,166
2021-12-11 09:00:00,306
2021-12-11 10:00:00,348
2021-12-11 11:00:00,254
2021-12-11 12:00:00,120
2021-12-11 13:00:00,160
2021-12-11 14:00:00,162
2021-12-11 15:00:00,105
2021-12-11 16:00:00,180
2021-12-11 17:00:00,163
2021-12-11 18:00:00,528
2021-12-11 19:00:00,399
2021-12-11 20:00:00,263
2021-12-11 21:00:00,223
2021-12-11 22:00:00,218
2021-12-11 23:00:00,171
2021-12-12 00:00:00,191
2021-12-12 01:00:00,20
2021-12-12 02:00:00,13
2021-12-12 03:00:00,19
2021-12-12 04:00:00,29
2021-12-12 05:00:00,25
2021-12-12 06:00:00,26
2021-12-12 07:00:00,75
2021-12-12 08:00:00,107
2021-12-12 09:00:00,164
2021-12-12 10:00:00,400
2021-12-12 11:00:00,614
2021-12-12 12:00:00,460
2021-12-12 13:00:00,293
2021-12-12 14:00:00,463
2021-12-12 15:00:00,648
2021-12-12 16:00:00,668
