_id,text,create_at,dayofweek
61c33971804621b0282729ef,"But, hold on. What if we do pull it off?

Have you given much thought to what our world might look like if we win t… https://t.co/0abvKYs7B5",2021-12-21 12:57:12+00:00,Tuesday
61c33971804621b0282729f6,"How co-operation between governments, private sector and communities can address challenges such as #ClimateChange… https://t.co/Oy4wLOVeNd",2021-12-21 11:23:37+00:00,Tuesday
61c33972804621b0282729fc,#COP26 was a pivotal moment for multilateral action on #climatechange. To ensure Commonwealth voices were heard &amp; a… https://t.co/3T48AnNsp8,2021-12-21 11:00:00+00:00,Tuesday
61c33972804621b0282729fe,"How can vertical farms slash emissions and promise a greener harvest for British farmers? During COP26, ELN went in… https://t.co/G9P7LP6CiM",2021-12-21 10:23:04+00:00,Tuesday
61c33973804621b028272a07,"Will #COP26 have a lasting legacy in the fight against #climatechange?

On a special edition of the #Daily podcast… https://t.co/03atFXXBXh",2021-12-21 07:00:00+00:00,Tuesday
61c33974804621b028272a0a,"Not a bad idea, ""sovereign fund for climate change adaptation, funded with mining royalties""
Closing #coal power pl… https://t.co/laWiTZiXE3",2021-12-21 05:32:33+00:00,Tuesday
61c33974804621b028272a0f,Japanese researchers have studied #forestbathing and believe small particles that we breathe in as we walk boost ce… https://t.co/2C9ZILKami,2021-12-20 22:02:23+00:00,Monday
61c33974804621b028272a11,#skies #clouds #cloudscape #cloudscapephotography #sunset #sunsets #sunsetphotography #weather #weatheraware… https://t.co/0bdWt3kAzR,2021-12-20 20:44:13+00:00,Monday
61c33975804621b028272a16,I write. I don’t know why but there you go. #Climate #ClimateCrisis #climatechange https://t.co/XA8KK54U1t,2021-12-20 19:09:22+00:00,Monday
61c33975804621b028272a18,We help the #Environment by planting 1 tree for every piece of work that we undertake. Helping to reduce… https://t.co/TDHlYda1UA,2021-12-20 17:27:00+00:00,Monday
61c33975804621b028272a1a,"In @Bill_Blain's latest Financial Lite-Bite, he looks at climate change and energy transition as one of the great c… https://t.co/6p7R574lSf",2021-12-20 16:08:54+00:00,Monday
61c33975804621b028272a1b,"I shot this a while back to raise #climatechange awareness &amp; funds for 
@XRLondon
 
Sadly still urgent now...obvs!… https://t.co/inrM6O0CnO",2021-12-20 15:44:59+00:00,Monday
61c33975804621b028272a1c,".@PlatformLondon are hiring! 

Two roles available - Communications Manager AND an Organisational Development + Ope… https://t.co/6pPsH6emMx",2021-12-20 15:37:00+00:00,Monday
61c33976804621b028272a1d,Google profited from climate denial articles despite promising to pull ads #ClimateChange via… https://t.co/yFbqHszbNU,2021-12-20 15:35:18+00:00,Monday
61c33976804621b028272a1f,Why we need to invest in more female climate entrepreneurs #ClimateChange via https://t.co/SkrNjynVVT https://t.co/gfcDGM2kbR,2021-12-20 15:26:49+00:00,Monday
61c33976804621b028272a21,"🌈Day 15 is of #ColourCountdown is here!

In this post, Johnathan Goldenberg (@JGoldenbergEvo) unpicks the fascinati… https://t.co/m8gqBkc4QW",2021-12-20 15:18:53+00:00,Monday
61c33977804621b028272a27,"In June, #ClimateChange was on the agenda in the #EnvironmentBill as well as debates on the #AnimalWelfareBill and… https://t.co/6jjk29d9YZ",2021-12-20 14:04:16+00:00,Monday
61c33977804621b028272a29,The energy transition and related ESG transformation will be a catalyst toward achieving a more carbon-neutral worl… https://t.co/x3dhqCFaEX,2021-12-20 14:00:25+00:00,Monday
61c33977804621b028272a2d,"Nice to see this commentary on @Rhianno46548658's paper! Very timely 😊 

https://t.co/T16Npo9c8L

#ecoanxiety #climatechange #mentalhealth",2021-12-20 13:33:43+00:00,Monday
61c33978804621b028272a31,"“If #democracy is to survive and thrive into the twenty-first century, #climatechange is the one big test it cannot… https://t.co/y1kHzCquwO",2021-12-20 12:42:24+00:00,Monday
61c33978804621b028272a34,Take a look at WA's latest ‘Temperature Check’ – this time it explores the impact of #COP26 on people’s attitude to… https://t.co/g90kzlp54z,2021-12-20 12:11:14+00:00,Monday
61c33978804621b028272a37,"In August, @Bluemarinef realised their blue carbon report which you can read more about here 👉… https://t.co/GOxIVwYRsL",2021-12-20 12:01:30+00:00,Monday
61c33979804621b028272a3b,Happy Christmas from all of us at Green Angel Syndicate! Our new video keeps in mind what's most important for the… https://t.co/E27fKzZNdv,2021-12-20 11:29:28+00:00,Monday
61c33979804621b028272a3c,Google profited from climate denial articles despite promising to pull ads #ClimateChange via… https://t.co/LkHMOPDcB4,2021-12-20 11:26:28+00:00,Monday
61c33979804621b028272a3f,Google profited from climate denial articles despite promising to pull ads #ClimateChange via… https://t.co/ZwN8G3iEUM,2021-12-20 11:15:57+00:00,Monday
61c33979804621b028272a40,UK households waste 4.5 million tonnes of edible food each year. Wasting food is one of the biggest contributors to… https://t.co/62q1BmnmRo,2021-12-20 11:00:20+00:00,Monday
61c3397a804621b028272a45,"Herbotany Health on how #hemp could help with #climatechange &gt; Great ideas from our members at @HerbotanyHealth 

T… https://t.co/VklMxDNky1",2021-12-20 09:45:00+00:00,Monday
61c3397a804621b028272a49,#ClimateChange https://t.co/JrgAMmFkE6,2021-12-20 09:16:18+00:00,Monday
61c3397b804621b028272a4b,Planning to enjoy a book or two over the festive period? @BloombergQuint has published a list of this year's essent… https://t.co/8IBVUFGJhk,2021-12-20 09:00:32+00:00,Monday
